Date,Description,Amount,Category
2024-02-01,Monthly Salary Deposit,3500.00,Income
2024-02-02,Rent Payment,-1200.00,Housing
2024-02-03,Grocery Store - Whole Foods,-95.25,Groceries
2024-02-04,Gas Station - BP,-47.00,Transportation
2024-02-05,Electric Company Bill,-132.50,Utilities
2024-02-06,Streaming Services Bundle,-29.99,Entertainment
2024-02-07,Coffee Shop - Starbucks,-6.50,Dining Out
2024-02-08,Doctor Visit Copay,-30.00,Healthcare
2024-02-09,Gym Membership,-49.99,Health & Fitness
2024-02-10,Department Store - Macy's,-125.00,Shopping
2024-02-11,Water Bill,-38.00,Utilities
2024-02-12,Restaurant - Thai Food,-67.50,Dining Out
2024-02-13,Gas Station - Shell,-43.50,Transportation
2024-02-14,Valentine's Dinner,-185.00,Dining Out
2024-02-15,Internet Service,-60.00,Utilities
2024-02-16,Concert Tickets,-120.00,Entertainment
2024-02-17,Online Shopping - Amazon,-89.99,Shopping
2024-02-18,Car Insurance,-145.00,Insurance
2024-02-19,Coffee Shop - Local Cafe,-5.00,Dining Out
2024-02-20,Grocery Store - Trader Joes,-78.40,Groceries
2024-02-21,Gas Station - Chevron,-46.00,Transportation
2024-02-22,Restaurant - Mexican,-58.75,Dining Out
2024-02-23,App Subscriptions,-19.98,Entertainment
2024-02-24,Pharmacy - CVS,-15.50,Healthcare
2024-02-25,Grocery Store - Safeway,-101.30,Groceries
2024-02-26,Cell Phone Bill,-85.00,Utilities
2024-02-27,Bookstore Purchase,-35.00,Entertainment
2024-02-28,Gas Station - BP,-45.00,Transportation
2024-02-29,Credit Card Payment,-600.00,Debt Payment
