Date,Description,Amount,Category
2024-01-01,Monthly Salary Deposit,3500.00,Income
2024-01-02,Rent Payment,-1200.00,Housing
2024-01-03,Grocery Store - Whole Foods,-87.42,Groceries
2024-01-04,Gas Station - Shell,-45.00,Transportation
2024-01-05,Electric Company Bill,-125.00,Utilities
2024-01-06,Netflix Subscription,-15.99,Entertainment
2024-01-07,Coffee Shop - Starbucks,-5.75,Dining Out
2024-01-08,Pharmacy - CVS,-23.50,Healthcare
2024-01-09,Gym Membership,-49.99,Health & Fitness
2024-01-10,Target Shopping,-65.30,Shopping
2024-01-11,Water Bill,-35.00,Utilities
2024-01-12,Restaurant - Italian Bistro,-78.50,Dining Out
2024-01-13,Gas Station - BP,-42.00,Transportation
2024-01-14,Grocery Store - Trader Joes,-92.15,Groceries
2024-01-15,Internet Service,-60.00,Utilities
2024-01-16,Movie Theater,-24.00,Entertainment
2024-01-17,Amazon Purchase,-156.78,Shopping
2024-01-18,Car Insurance,-145.00,Insurance
2024-01-19,Coffee Shop - Local Cafe,-4.50,Dining Out
2024-01-20,Grocery Store - Safeway,-73.25,Groceries
2024-01-21,Gas Station - Chevron,-48.00,Transportation
2024-01-22,Restaurant - Sushi Bar,-95.00,Dining Out
2024-01-23,Spotify Premium,-9.99,Entertainment
2024-01-24,Pharmacy - Walgreens,-31.25,Healthcare
2024-01-25,Grocery Store - Whole Foods,-88.90,Groceries
2024-01-26,Cell Phone Bill,-85.00,Utilities
2024-01-27,Bookstore - Barnes & Noble,-42.50,Entertainment
2024-01-28,Gas Station - Shell,-44.50,Transportation
2024-01-29,Restaurant - Fast Food,-12.99,Dining Out
2024-01-30,Credit Card Payment,-500.00,Debt Payment
2024-01-31,Savings Transfer,-200.00,Savings
